UniprotID	Estimate	Std. Error	t value	p_value	adj_R_squared	fit	BH	Entry.name	Protein.names	Gene.names
Q71UM5	-0.509667967593491	0.116675929240864	-4.36823576987625	0.000477751197525217	0.991662358479521	Without_replicate	0.25379805193764	RS27L_HUMAN	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	RPS27L
Q9Y2R9	-0.439225521719228	0.0939333436094367	-4.67592768277763	0.000536004333553623	0.631730107454059	With_replicate	0.25379805193764	RT07_HUMAN	28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (Mitochondrial small ribosomal subunit protein uS7m) (bMRP-27a) (bMRP27a)	MRPS7
O00299	-0.380339449741908	0.0985878368444341	-3.85787397224326	0.0013920237946449	0.965116269478826	Without_replicate	0.266994684520699	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27
P01033	-0.510681122156282	0.132572359312001	-3.85209348921991	0.00140909139105411	0.912398154011181	Without_replicate	0.266994684520699	TIMP1_HUMAN	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TIMP1 CLGI TIMP
P16615	-0.426947726543597	0.128632002182062	-3.3191407993425	0.00434066603292826	0.304657900309265	Without_replicate	0.266994684520699	AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 3.6.3.8) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A2 ATP2B
P17987	-0.42137555175919	0.112552160988758	-3.74382462368961	0.00177069457367922	0.903418180332245	Without_replicate	0.266994684520699	TCPA_HUMAN	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 CCTA
P35659	0.832986873868408	0.23205980834869	3.58953530038589	0.00245284551260263	0.698748581366071	Without_replicate	0.266994684520699	DEK_HUMAN	Protein DEK	DEK
P50395	-0.623255267143851	0.188481181392452	-3.30672411186834	0.00445573344090167	0.650737323026191	Without_replicate	0.266994684520699	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB
P56192	-0.379284487357445	0.111660934407788	-3.39675186643423	0.00368533846474683	0.781472840028626	Without_replicate	0.266994684520699	SYMC_HUMAN	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MARS
Q12874	-0.482399032638629	0.136699043898747	-3.52891299661133	0.00278797665669657	0.759179818205419	Without_replicate	0.266994684520699	SF3A3_HUMAN	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61
Q14980	-0.437060142782942	0.106665132877644	-4.09749775762522	0.00147896872560437	0.693015655943289	With_replicate	0.266994684520699	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA
Q8WTT2	0.385369690511076	0.115873885795368	3.32576825111083	0.00428045882394224	0.98982066397917	Without_replicate	0.266994684520699	NOC3L_HUMAN	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)	NOC3L AD24 C10orf117 FAD24
Q96EY7	-0.463196114376452	0.135607839084301	-3.41570308548687	0.00354086193042425	0.326904122604454	Without_replicate	0.266994684520699	PTCD3_HUMAN	Pentatricopeptide repeat domain-containing protein 3, mitochondrial (28S ribosomal protein S39, mitochondrial) (MRP-S39) (Mitochondrial small ribosomal subunit protein mS39) (Transformation-related gene 15 protein) (TRG-15)	PTCD3 MRPS39 TRG15
Q9UQ80	-0.285338790080467	0.0859542154336376	-3.3196602242361	0.004335917147287	0.924679882076539	Without_replicate	0.266994684520699	PA2G4_HUMAN	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	PA2G4 EBP1
Q9Y265	-0.58347287402129	0.169638514532544	-3.43950709323947	0.0033673457204725	0.883271573704248	Without_replicate	0.266994684520699	RUVB1_HUMAN	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A
Q9Y4L1	0.225751229554429	0.0683913680613235	3.30087313580286	0.00451099783773092	0.964564609117123	Without_replicate	0.266994684520699	HYOU1_HUMAN	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150
P13010	-0.460489313045108	0.142246191849369	-3.23726988440394	0.00515730904376724	0.536676181963091	Without_replicate	0.287292450849857	XRCC5_HUMAN	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRCC5 G22P2
Q86VM9	0.66895696219676	0.211888567944485	3.15711682176279	0.00610336213540954	0.719211925879113	Without_replicate	0.32110466345738	ZCH18_HUMAN	Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1)	ZC3H18 NHN1
P10412	1.30827096720751	0.417819662058827	3.13118573874896	0.00644458777417353	0.936291846173192	Without_replicate	0.321211822218018	H14_HUMAN	Histone H1.4 (Histone H1b) (Histone H1s-4)	HIST1H1E H1F4
Q13619	-0.389226510340433	0.126898064790562	-3.06723755782114	0.0073682873334608	0.958028878407192	Without_replicate	0.348888405239369	CUL4A_HUMAN	Cullin-4A (CUL-4A)	CUL4A
