uniprot_id,Master.Protein.Descriptions,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,protein_desc,gene_name
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,0.8435559523441896,0.5125375119780099,1.1745743927103693,7.294418144075037,5.305171834335594,3.090199335046313e-5,0.017809200928059297,2.515825850549307,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ,AIMP1 
Q12830,Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3,-1.3867036619800113,-1.9422315782151705,-0.831175745744852,5.941373351890506,-5.196554945794168,3.97526806429895e-5,0.017809200928059297,2.285556607140931,Nucleosome-remodeling factor subunit BPTF ,BPTF 
P62277,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,0.746715146492776,0.4253770435368158,1.0680532494487363,7.264405210787322,4.837605889814113,9.200008138009929e-5,0.022255833055923893,1.5166568441600923,40S ribosomal protein S13 ,RPS13 
P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,0.6751735336899252,0.3757108091302471,0.9746362582496032,8.113984242776247,4.693646604709739,1.2912403065509074e-4,0.022255833055923893,1.2054643239732146,40S ribosomal protein S8 ,RPS8 
P55209,Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1,1.5070947659674396,0.8386262294987836,2.1755633024360956,6.710949525998042,4.6935055959117324,1.2916698447670911e-4,0.022255833055923893,1.2051588728110278,Nucleosome assembly protein 1-like 1 ,NAP1L1 
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,-0.6996817230641174,-1.0146313408203103,-0.38473210530792457,6.6641954347251575,-4.624845116287736,1.5189270335486387e-4,0.022255833055923893,1.0562963863209802,Poly(rC)-binding protein 2 ,PCBP2 
P26038,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,0.8559823383168184,0.4645725850102139,1.2473920916234227,7.420326653665998,4.552719667762106,1.8012551718827786e-4,0.022255833055923893,0.8996647320280422,Moesin ,MSN 
Q69YN4,Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2,0.8972468431618509,0.4763650562365379,1.318128630087164,6.803208197548845,4.4380230696219884,2.363151243559668e-4,0.022255833055923893,0.6501420085934937,Protein virilizer homolog ,VIRMA 
P11940,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,-0.7740440673578489,-1.1389275674523671,-0.4091605672633307,7.119165808120676,-4.416204849221866,2.48852906496813e-4,0.022255833055923893,0.6026270725118357,Polyadenylate-binding protein 1 ,PABPC1 
Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,-0.7056156835804317,-1.0388814982761274,-0.3723498688847359,6.9705532896378575,-4.407732266808967,2.5389994658212223e-4,0.022255833055923893,0.5841722789890547,116 kDa U5 small nuclear ribonucleoprotein component ,EFTUD2 
Q9GZR7,ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1,0.6598261204127284,0.34598280885157867,0.9736694319738781,6.693252549008662,4.376776554225555,2.7323009332049425e-4,0.022255833055923893,0.5167300777103705,ATP-dependent RNA helicase DDX24 ,DDX24 
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,0.8436483020747403,0.4328437176869789,1.2544528864625017,7.733830558351384,4.275273515282927,3.4759628849492596e-4,0.02595385620762114,0.29546191324717785,Eukaryotic translation initiation factor 3 subunit G ,EIF3G 
P42696,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,1.3006644867791586,0.626528385150662,1.9748005884076552,5.8627214642450625,4.01657098144543,6.421789423340613e-4,0.044260948640870684,-0.2685452949809237,RNA-binding protein 34 ,RBM34 
O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,0.7174962898784771,0.3418550792878398,1.0931375004691144,7.470529843369265,3.9763460915899027,7.064491603287336e-4,0.04521274626103895,-0.35613238092205535,Vesicle-associated membrane protein-associated protein B/C ,VAPB 
P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0.6008896915564281,0.28324620703466424,0.9185331760781921,7.421871632270837,3.9381526953492143,7.733895962312505e-4,0.04619713854821337,-0.43924292175640023,Endoplasmic reticulum chaperone BiP ,HSPA5 
Q9Y2H6,Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4,-1.0421768090831853,-1.601430080479473,-0.4829235376868978,6.633406397850904,-3.8794541257657436,8.887667043286533e-4,0.04636030072695151,-0.5668515071635962,Fibronectin type-III domain-containing protein 3A ,FNDC3A 
Q7Z478,ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=2,1.1061870600325583,0.5043998491411162,1.7079742709240002,5.917674993828852,3.826690771600883,0.0010069886023623274,0.04636030072695151,-0.6814061503575042,ATP-dependent RNA helicase DHX29 ,DHX29 
Q00059,"Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1",0.5769953155371751,0.26208632260770764,0.8919043084666425,7.296393732325743,3.8143889296873423,0.0010367226938187636,0.04636030072695151,-0.7080913119578502,"Transcription factor A, mitochondrial ",TFAM 
